ZSPR,0_2,3_5,6_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_999,year
70,16,12,31,23,35,60,77,50,43,47,59,54,46,38,28,32,31,15,17,2017
71,17,18,27,47,29,65,68,46,47,41,62,55,54,23,25,31,38,27,19,2017
72,36,30,30,56,50,94,96,104,82,81,101,105,85,64,65,60,49,23,29,2017
73,20,15,18,19,19,40,53,38,36,34,38,47,50,35,29,28,25,12,14,2017
74,18,16,22,31,32,66,82,63,58,44,75,79,65,36,32,41,22,8,28,2017
75,19,13,26,18,33,54,57,42,31,34,37,43,39,36,36,46,57,78,199,2017
80,39,46,67,88,63,84,82,80,89,79,115,150,127,97,91,63,53,19,11,2017
81,5,10,10,13,20,13,19,14,12,18,27,25,24,22,18,14,12,10,8,2017
100,17,19,22,18,53,159,140,92,52,50,30,28,40,37,21,22,20,13,12,2017
101,13,3,8,6,10,111,137,84,64,41,52,36,36,31,23,22,13,4,10,2017
102,23,21,15,16,35,178,167,106,64,70,57,74,48,46,38,31,31,13,13,2017
103,8,2,13,14,13,36,44,32,22,33,25,14,14,1,4,6,6,5,1,2017
104,23,16,27,22,39,160,130,85,53,44,43,54,28,40,33,25,24,6,8,2017
105,5,4,10,11,6,68,57,29,22,23,17,15,21,18,11,16,12,19,53,2017
106,22,6,11,10,14,69,66,49,47,31,39,23,24,22,7,15,17,5,6,2017
107,17,21,26,18,57,126,96,72,43,35,23,25,22,14,11,15,16,6,9,2017
110,7,9,10,12,23,121,95,69,36,29,40,26,27,16,26,22,13,4,17,2017
111,10,12,21,30,32,159,125,79,44,50,51,44,33,42,20,30,34,24,27,2017
114,30,23,38,33,39,163,163,110,80,64,66,52,56,41,36,33,24,9,27,2017
115,15,14,22,14,27,190,133,90,52,39,44,42,30,30,18,23,16,14,20,2017
116,21,9,9,22,19,140,153,69,52,37,43,40,53,26,33,28,32,18,25,2017
117,22,19,27,37,26,122,112,70,69,53,47,49,44,42,43,34,16,12,14,2017
118,28,20,26,31,27,71,85,85,48,45,53,65,51,57,55,43,23,15,15,2017
120,1,3,2,4,3,26,16,11,11,6,14,12,7,6,13,23,25,8,9,2017
121,1,3,3,5,5,6,14,7,8,8,2,5,7,5,3,2,2,1,0,2017
122,4,7,10,10,14,33,45,30,18,23,24,25,21,16,10,10,10,11,3,2017
123,1,0,0,1,2,4,1,3,3,3,1,0,0,1,0,0,0,0,0,2017
124,0,4,1,2,2,5,5,3,4,4,2,3,3,2,2,2,11,2,0,2017
