OBJECTID,Bezeichnung,Adresse,Link,X,Y,Lon,Lat
1,SPZ Daniel-Sailer-Schule,Siebererstraße 9,http://www.innsbruck.gv.at/page.cfm?vpath=bildung--kultur/schulen/sonderschulen/detail&genericpageid=2937,81056.758199999997000,237649.540600000010000,11.404232052000101,47.272709257000102
2,SPZ für Kinder mit Blindheit oder Sehbehinderung,Ing.-Etzel-Straße 71a,http://spz-sbk.tsn.at/,81716.010700000494000,238201.570100000010000,11.413043609000100,47.277592180000099
3,Heilstättenschule Innsbruck,Maximilianstraße 35,http://heilstaettenschule.schulweb.at/,79930.278199999593000,236450.512599999000000,11.389133669000000,47.262063969000103
4,SPZ Schule am Inn,Hutterweg 1a,http://www.innsbruck.gv.at/page.cfm?vpath=bildung--kultur/schulen/sonderschulen/detail&genericpageid=2938,79390.246000000305000,236721.199800000000000,11.382047433000100,47.264563652000000
