ZSPR,0_2,3_5,6_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_999
401,22,13,15,28,24,25,39,50,46,44,51,28,27,14,17,16,13,5,17
402,23,12,19,22,21,51,56,75,51,48,54,48,22,36,34,24,27,14,8
403,10,8,17,12,14,48,46,23,17,27,34,31,22,30,24,19,19,12,13
404,5,5,11,9,14,13,9,14,11,14,26,23,19,15,12,9,9,4,6
410,5,5,5,9,8,7,7,5,6,9,10,21,9,6,6,6,8,6,3
420,24,13,17,19,27,72,90,49,53,43,22,26,31,19,16,9,8,4,3
430,3,4,7,9,17,29,30,23,20,18,29,22,30,24,30,22,35,15,17
431,45,49,66,94,88,104,91,96,94,105,111,107,108,130,127,136,121,45,37
500,21,18,22,31,28,42,36,56,34,43,58,61,25,28,24,18,15,10,2
501,18,7,10,15,18,16,22,34,33,22,28,13,11,13,7,8,8,6,6
502,5,5,5,10,4,8,8,11,13,7,5,4,12,6,8,9,2,2,4
510,18,21,45,41,37,59,75,83,79,75,81,83,50,47,46,18,24,13,5
511,16,21,36,35,40,54,63,65,51,49,68,66,31,37,38,66,85,44,43
512,25,21,27,48,57,90,82,67,58,55,70,90,62,59,47,24,37,18,19
513,19,13,28,63,60,36,48,40,48,56,63,67,46,33,28,13,17,13,23
514,11,8,18,26,42,50,41,27,28,57,70,75,63,39,43,52,18,13,20
520,7,10,25,23,46,138,131,64,46,34,22,17,8,7,2,2,1,0,2
521,0,0,0,1,7,9,18,6,4,6,6,5,4,3,1,2,2,1,1
522,0,0,0,0,0,2,0,2,3,2,2,2,2,1,0,0,0,0,0
600,3,8,5,3,6,16,15,18,13,12,7,10,18,10,7,10,5,3,4
601,12,16,24,32,28,38,31,30,43,49,51,58,42,30,32,31,31,11,7
602,13,23,22,32,39,35,28,51,33,22,40,47,36,22,24,32,33,23,17
603,7,1,0,5,8,19,12,14,12,8,13,14,17,9,7,9,7,2,5
604,5,6,5,5,3,3,8,11,13,16,15,15,14,19,15,29,30,11,8
605,1,0,0,0,1,1,1,0,1,0,2,1,0,1,1,1,0,0,1
610,24,22,26,27,28,41,49,32,57,48,46,41,47,48,38,53,44,26,24
611,11,16,21,21,41,27,40,35,40,51,70,61,47,39,26,26,19,7,7
612,39,36,48,42,41,49,72,86,90,91,103,91,62,56,35,49,37,27,30
620,7,5,3,4,21,48,29,28,25,25,32,34,13,14,15,13,12,6,3
621,22,11,21,21,31,57,55,49,47,41,63,58,41,28,21,26,17,5,5
622,35,27,28,34,51,75,92,70,71,67,80,73,56,43,52,43,34,8,8
630,51,42,59,59,77,85,94,88,89,75,76,100,86,68,81,68,100,50,45
631,12,16,16,35,46,33,29,26,29,38,50,43,31,66,118,102,96,46,72
632,18,19,19,40,36,41,46,39,45,63,63,56,50,37,38,38,47,31,30
633,36,35,45,81,45,56,57,64,58,73,70,80,75,46,95,134,102,38,13
634,18,17,30,36,35,21,29,31,42,32,32,30,29,77,89,51,23,7,3
700,17,17,32,27,34,25,21,39,26,38,59,35,23,44,28,36,28,15,12
800,16,18,20,31,38,33,35,41,30,37,39,52,45,27,36,41,34,15,18
801,27,41,45,67,75,60,63,59,75,69,122,96,83,53,40,46,39,16,22
802,21,14,23,31,19,26,32,47,52,38,48,50,41,47,56,68,58,25,20
